=== DoE point 4 (job_id=doe_0004) ===
Parametres : {'sigma_l': 0.1872857737319024, 'sigma_t': 0.08675037274527969, 'sigma_n': 0.030512676662666886, 'a_kPa': 0.25409739873692105, 'b': 11.85408790299696, 'a_f_kPa': 15.988629248897999, 'b_f': 17.394531795057652, 'T_max_kPa': 94.79062743682746, 'heart_rate_bpm': 79.6423108764523, 'R_p': 197070434.95689145}
V_ed (cavite, repos) = 209.21 mL
2026-07-13 01:22:38 [info     ] mechanics.fenicsx.available    version=0.7.3
2026-07-13 01:23:50 [info     ] mechanics.fenicsx.load_step    T_act_kPa=0.009 dlam=0.0001 domain_err_total=0 its=2 lam=0.0001 min_J=0.9732
2026-07-13 01:25:42 [info     ] mechanics.fenicsx.load_step    T_act_kPa=0.019 dlam=0.0001 domain_err_total=0 its=3 lam=0.0002 min_J=0.9503
2026-07-13 01:27:31 [info     ] mechanics.fenicsx.load_step    T_act_kPa=0.033 dlam=0.00015 domain_err_total=0 its=3 lam=0.00035 min_J=0.9241
2026-07-13 01:29:19 [info     ] mechanics.fenicsx.load_step    T_act_kPa=0.055 dlam=0.000225 domain_err_total=0 its=3 lam=0.000575 min_J=0.8989
2026-07-13 01:31:08 [info     ] mechanics.fenicsx.load_step    T_act_kPa=0.086 dlam=0.000338 domain_err_total=0 its=3 lam=0.000913 min_J=0.8781
2026-07-13 01:33:02 [info     ] mechanics.fenicsx.load_step    T_act_kPa=0.134 dlam=0.000506 domain_err_total=0 its=3 lam=0.001419 min_J=0.8495
2026-07-13 01:34:56 [info     ] mechanics.fenicsx.load_step    T_act_kPa=0.206 dlam=0.000759 domain_err_total=0 its=3 lam=0.002178 min_J=0.8236
2026-07-13 01:36:51 [info     ] mechanics.fenicsx.load_step    T_act_kPa=0.314 dlam=0.001139 domain_err_total=0 its=3 lam=0.003317 min_J=0.801
2026-07-13 01:38:47 [info     ] mechanics.fenicsx.load_step    T_act_kPa=0.476 dlam=0.001709 domain_err_total=0 its=3 lam=0.005026 min_J=0.7814
2026-07-13 01:40:41 [info     ] mechanics.fenicsx.load_step    T_act_kPa=0.719 dlam=0.002563 domain_err_total=0 its=3 lam=0.007589 min_J=0.7589
2026-07-13 01:42:36 [info     ] mechanics.fenicsx.load_step    T_act_kPa=1.084 dlam=0.003844 domain_err_total=0 its=3 lam=0.011433 min_J=0.735
2026-07-13 01:44:31 [info     ] mechanics.fenicsx.load_step    T_act_kPa=1.63 dlam=0.005767 domain_err_total=0 its=3 lam=0.0172 min_J=0.7131
